station,year,month,day,mean_airT,max_airT,min_airT,max_groundT,min_groundT,suny_min
BNF,2016,6,4,26.725,34.4,22,41.4,22.9,462
BNF,2016,6,5,27.85,35.4,22.5,43.9,22.9,552
BNF,2016,6,6,26.325,35.7,22.2,45.9,23.4,456
BNF,2016,6,7,25.925,33,21.7,44.3,22.5,306
BNF,2016,6,8,26.1,32.4,23.4,42.5,24.4,222
BNF,2016,6,9,26.3,32.7,23.1,41.5,23.8,210
BNF,2016,6,10,26.15,32.9,23,39.4,23.4,138
BNF,2016,6,11,25.875,29.8,23.5,37.9,24.4,312
BNF,2016,6,12,25.175,29.3,22.6,38.2,24.4,72
BNF,2016,6,13,25.425,31.6,23.1,38.6,24.3,282
BNF,2016,6,14,25.475,30.8,23.6,38.7,24.1,420
BNF,2016,6,15,26.25,31.1,23.7,39,25.1,186
BNF,2016,6,16,27.15,33.9,23.6,40.7,24.8,108
BNF,2016,6,17,25.725,31.9,23.6,34.9,24.8,144
BNF,2016,6,18,24.425,26.9,23.5,33.4,23.9,0
BNF,2016,6,19,26,32.5,23.6,33.8,23.9,438
BNF,2016,6,20,25.6,30.6,23.1,40.7,23.4,276
BNF,2016,6,21,24.8,28.6,23.2,39.7,24.4,0
BNF,2016,6,22,26.175,34,22.1,40.8,23,474
BNF,2016,6,23,27.65,35.6,22.4,44,23.4,522
BNF,2016,6,24,26.525,30.4,22.8,44.3,24.1,180
BNF,2016,6,25,28.2,34.5,23.9,43.5,24.1,498
BNF,2016,6,26,26.65,33,22.7,43.8,23.9,354
BNF,2016,6,27,27.475,33.9,23.2,41.4,24.3,438
BNF,2016,6,28,28.325,35.7,23.6,57.9,24.5,558
BNF,2016,6,29,28.125,34.9,23.5,54.9,24.3,456
BNF,2016,6,30,25.75,30.8,23.6,48.4,25.3,300
BNF,2016,7,1,27.175,32.5,23.7,59.6,24.7,276
BNF,2016,7,2,25.55,29,23.5,35.4,24.9,36
BNF,2016,7,3,25.875,29.9,23.6,36.9,24.6,72
BNF,2016,7,4,26.05,30.6,23.4,41.7,24.7,0
BNF,2016,7,5,26.725,32.7,24,39.9,24.6,270
BNF,2016,7,6,25.95,29,23.7,44.3,24.5,78
BNF,2016,7,7,25.575,33.9,23.3,45.4,24.3,288
BNF,2016,7,8,27.325,32.3,23.3,45.4,23.9,402
BNF,2016,7,9,26,32.9,23.5,48.4,24.6,306
BNF,2016,7,10,27.325,33.3,23.6,52.2,23.8,456
BNF,2016,7,11,28.55,34.6,24.3,53.3,24.9,582
BNF,2016,7,12,26.7,33.6,23.9,39.9,24.7,264
BNF,2016,7,13,26.35,31.2,23.3,43.3,23.9,108
BNF,2016,7,14,25.95,30.8,24.1,40.5,25.5,0
BNF,2016,7,15,25.075,31.2,23.2,46.1,23.4,144
BNF,2016,7,16,25.3,27.9,23.5,36.7,24.9,0
BNF,2016,7,17,25.875,30.8,23.3,43,24.4,156
BNF,2016,7,18,26.025,31.7,22.7,46.7,24.4,366
BNF,2016,7,19,25.45,28.4,23.3,31.9,23.9,0
BNF,2016,7,20,23.975,28.8,23.3,36.5,23.3,0
BNF,2016,7,21,23.6,25,23,29.8,23.3,0
BNF,2016,7,22,24.825,30,22.4,40.3,22.9,108
BNF,2016,7,23,24.8,29.3,22.4,40,23.4,258
BNF,2016,7,24,25.075,29.9,21.8,41.7,22.4,0
BNF,2016,7,25,26.175,34.1,21.8,39.1,22.4,498
BNF,2016,7,26,27.375,35.5,21.2,49,22.9,582
BNF,2016,7,27,26.05,32.1,23.1,49.7,24.7,360
BNF,2016,7,28,25.7,30.9,22,50.6,23.9,270
BNF,2016,7,29,24.675,27.7,22.7,38.5,24.8,30
BNF,2016,7,30,25.6,33,22.3,49.1,24.5,372
BNF,2016,7,31,25.55,30.9,23.1,49.3,24.2,0
BNF,2016,8,1,26.975,34.3,23.4,47.7,24.9,546
BNF,2016,8,2,27.55,35,23.2,49.7,23.3,570
BNF,2016,8,3,25.325,29.9,23.1,36.9,23.7,324
BNF,2016,8,4,24.45,26.8,20.9,30.5,24.1,36
BNF,2016,8,5,23.975,27.5,22.6,29,24.3,72
BNF,2016,8,6,25.575,32.6,23,44.7,23.7,348
BNF,2016,8,7,26.075,33.1,23.3,43.7,24.7,282
BNF,2016,8,8,25.125,30.6,22.2,44.4,23.3,240
BNF,2016,8,9,26.225,32.3,23.3,45.7,23.7,288
BNF,2016,8,10,25.875,32.2,23.2,40,23.8,408
BNF,2016,8,11,26.05,32.4,23.3,44.9,24.3,294
BNF,2016,8,12,25.625,31.1,22.6,44.6,23.7,300
BNF,2016,8,13,26.45,32.3,22.8,44,24.9,396
BNF,2016,8,14,27.125,33.6,24.3,43.7,24.2,360
BNF,2016,8,15,25.875,30.5,23.5,44.7,23.3,264
BNF,2016,8,16,25.65,32.5,21.7,39.7,21.8,480
BNF,2016,8,17,26.1,31,21.7,45.7,23.1,300
BNF,2016,8,18,27.075,33.9,23.1,48.1,23.4,504
BNF,2016,8,19,26.475,33.5,23.6,49.1,23.8,234
BNF,2016,8,20,25.225,30.1,23.3,43.4,22.9,54
BNF,2016,8,21,25.925,32.8,22.6,45.2,22.5,432
BNF,2016,8,22,26.65,32.6,23.6,45.9,24.1,342
BNF,2016,8,23,25.25,31.9,22.7,44.7,22.6,282
BNF,2016,8,24,26.8,34.3,22.5,47.3,22.7,528
BNF,2016,8,25,27.6,34.9,23.3,47.9,23.3,564
BNF,2016,8,26,27.825,35.2,22.6,41.5,22.9,576
BNF,2016,8,27,26.15,30.6,23.7,44.3,23,186
BNF,2016,8,28,27.075,32.6,23.8,47.4,23.9,420
BNF,2016,8,29,26.175,32.7,22.6,44.3,22.3,414
BNF,2016,8,30,26.15,32.1,23.1,49.3,20.9,492
BNF,2016,8,31,25.05,31.2,23.6,43.2,22.6,108
BNF,2016,9,1,26.15,33.6,23.6,40.9,22.8,318
BNF,2016,9,2,26.6,33.2,23.6,44.4,23.8,246
BNF,2016,9,3,26.175,33.1,23.9,39.5,23.5,282
BNF,2016,9,4,25.75,32.5,23.3,42.4,22.3,102
BNF,2016,9,5,24.425,31,23.3,30.9,22.6,168
BNF,2016,9,6,26.425,33.5,23.5,43.3,22.3,354
BNF,2016,9,7,26.475,31.3,23.7,41.9,23.8,288
BNF,2016,9,8,26.35,31.9,23.6,39.8,22.9,336
BNF,2016,9,9,25.45,32.3,22.4,49,23.3,168
BNF,2016,9,10,22.45,26.8,22.2,31.5,22.2,0
BNF,2016,9,11,23.475,29.8,21.6,39.8,21.3,138
BNF,2016,9,12,24.75,30.6,21.6,42.4,21.3,222
BNF,2016,9,13,25.85,33.4,22.3,48.9,22.3,510
BNF,2016,9,14,25.775,33.5,21.6,51,21.4,408
BNF,2016,9,15,26.35,32.8,21.8,52.5,21.8,420
BNF,2016,9,16,26.325,32.8,22.8,48.1,22.6,450
BNF,2016,9,17,25.275,30.5,22.4,40.4,22.4,198
BNF,2016,9,18,24.35,29.5,22.3,36.3,22.1,258
BNF,2016,9,19,24.3,26.6,22.7,32.8,22.7,18
BNF,2016,9,20,25.075,29.6,22.7,36.4,22.7,0
BNF,2016,9,21,24.15,30.5,21.2,33.5,21.8,390
BNF,2016,9,22,24.625,31.6,21,47.6,20.2,474
BNF,2016,9,23,24.575,31.6,20.1,32.9,22.8,462
BNF,2016,9,24,25.25,33,21.1,51.6,22.9,450
BNF,2016,9,25,24.575,32.3,21.3,48.8,20.5,270
BNF,2016,9,26,24.575,31.9,22.1,39.4,21.8,318
BNF,2016,9,27,26.65,33.2,22.2,48.3,22.8,408
BNF,2016,9,28,26.625,34.9,22.9,53.3,22.9,390
BNF,2016,9,29,25.475,32.6,21.7,40.9,22.3,480
BNF,2016,9,30,26.375,,23.1,43.5,23.2,258
BNF,2016,10,1,24.725,30.3,22.8,40.3,22.4,192
BNF,2016,10,2,24.9,34.6,22.1,40.7,21.9,312
BNF,2016,10,3,23.7,27.6,22.1,36.9,22.8,138
BNF,2016,10,4,24.55,31.6,21.1,44.5,22.8,366
BNF,2016,10,5,24.25,30.5,21.1,45.1,22.3,312
BNF,2016,10,6,25.25,32.3,21.5,47.8,20.3,294
BNF,2016,10,7,25.3,32.1,21.7,49.2,20.2,408
BNF,2016,10,8,24.875,31.5,21.6,44.7,20.4,216
BNF,2016,10,9,26.075,,22.6,48.4,22.6,294
BNF,2016,10,10,25.075,31.5,22.2,51.3,22.7,276
BNF,2016,10,11,25.275,31.6,22.7,38.9,22.8,12
BNF,2016,10,12,22.85,27.2,21.8,30,22.8,0
BNF,2016,10,13,24.775,33,21.6,40.8,23.1,474
BNF,2016,10,14,24.275,31.1,20.9,39.1,22.9,462
BNF,2016,10,15,24.525,30.9,20.6,41.6,22.8,408
BNF,2016,10,16,25.3,31.2,22.4,44.5,22.8,468
BNF,2016,10,17,24.65,31.5,21.4,40.7,22.8,492
BNF,2016,10,18,23.475,31.5,19.6,46.7,20.8,390
BNF,2016,10,19,24.225,31.9,20.1,47.4,20.8,486
BNF,2016,10,20,24.65,31.9,20.6,48.3,20.9,420
BNF,2016,10,21,25.95,33.2,21.6,48.8,22.7,444
BNF,2016,10,22,25.425,33.5,21.9,50.1,20.1,420
BNF,2016,10,23,24.975,32.8,20.4,53.3,19.4,390
BNF,2016,10,24,25.725,32.1,22.6,51.5,22.4,402
BNF,2016,10,25,24.7,31.5,22.1,47.2,22.4,204
BNF,2016,10,26,24.775,31.5,22.3,43.2,22.7,228
BNF,2016,10,27,25.475,32.9,21.7,46.7,22.8,384
BNF,2016,10,28,25.1,31.8,21.6,35.7,22.8,342
BNF,2016,10,29,23.15,27.1,21.4,33.3,21.8,66
BNF,2016,10,30,23.2,29.5,19.9,34.9,19.3,360
BNF,2016,10,31,23.6,32.9,19.5,39.4,21.8,474
BNF,2016,11,1,22.85,29.1,19.6,35.6,18.8,126
BNF,2016,11,2,23.175,29.8,20,40.1,20.6,360
BNF,2016,11,3,20.725,27.8,17.2,36.7,17.8,192
BNF,2016,11,4,21.775,29.6,17.6,45,18.8,414
BNF,2016,11,5,21.8,30,18,44.9,18.8,396
BNF,2016,11,6,23.325,31.6,19.5,48.4,22.3,294
BNF,2016,11,7,24.35,31.9,20.1,41.4,22.2,342
BNF,2016,11,8,23.875,27.9,22,39.9,22.6,126
BNF,2016,11,9,23.8,27.9,21.1,30.5,22.3,120
BNF,2016,11,10,20.775,25.6,19.6,28.6,21.6,0
BNF,2016,11,11,19.775,22.3,18.2,30.9,20.7,0
BNF,2016,11,12,23.15,30.1,20.1,47.3,21.3,210
BNF,2016,11,13,23.925,30.5,21.6,46.8,21,390
BNF,2016,11,14,21.6,29.6,18.1,39.8,18.7,372
BNF,2016,11,15,21.975,29.5,18.6,40.4,19.8,366
BNF,2016,11,16,22.6,29.9,18.7,38.1,20.8,0
BNF,2016,11,17,22.825,29.5,18.6,38.6,21.3,0
BNF,2016,11,18,22.9,29.9,19.1,38,19.7,408
BNF,2016,11,19,20.4,27.5,17.6,33.4,17.8,234
BNF,2016,11,20,18.85,27.5,16.2,35.1,15.1,366
BNF,2016,11,21,17.3,26.5,13.6,34.4,13.8,366
BNF,2016,11,22,17.025,25.9,13.6,25.9,13.6,330
BNF,2016,11,23,17.5,26.5,13.6,30,14.8,312
BNF,2016,11,24,18.225,26.5,15.1,30.3,16.5,324
BNF,2016,11,25,19.25,27.2,15.6,30.2,18.3,264
BNF,2016,11,26,20.95,28,17.3,35.9,18,318
BNF,2016,11,27,20.525,25.6,17.7,37.5,15.8,246
BNF,2016,11,28,20.3,25.4,17.6,29.7,17.9,72
BNF,2016,11,29,20.125,24.6,17.6,35.5,18.3,60
BNF,2016,11,30,20.725,26.9,17.1,35.9,18.8,414
BNF,2016,12,1,19.225,25.9,16.6,28.9,18.3,114
BNF,2016,12,2,20.35,29.6,16.4,39.5,18.3,384
BNF,2016,12,3,19.975,27.3,16.4,38.3,16.6,324
BNF,2016,12,4,19.925,27.9,16.1,32.7,17.8,384
BNF,2016,12,5,19.525,26,16,30.7,19.3,396
BNF,2016,12,6,18.75,27.6,14,39.9,17.8,306
BNF,2016,12,7,17.7,26.6,14.2,35.4,17.6,396
BNF,2016,12,8,17.3,25.9,14,38.8,16.3,330
BNF,2016,12,9,17.075,24.9,13.4,37.5,16.8,288
BNF,2016,12,10,16.025,22.8,13.2,36.5,17.3,234
BNF,2016,12,11,16.45,24.1,14.2,35.6,16.9,264
BNF,2016,12,12,16.475,25.6,14.2,35.4,15.8,258
BNF,2016,12,13,17.775,26.9,14,30.4,15.8,360
BNF,2016,12,14,17.2,26.7,13.4,35.4,14.7,222
BNF,2016,12,15,18.15,27.5,13.5,36.7,14.8,330
BNF,2016,12,16,19.2,24.1,15.6,36.4,14.7,84
BNF,2016,12,17,18.45,24.6,14.2,39.8,15.8,192
BNF,2016,12,18,18.9,25.6,14.8,35.3,16.2,240
BNF,2016,12,19,19.175,26.9,15.6,30.4,15.4,240
BNF,2016,12,20,19.325,26.9,15.7,32.8,16.8,216
BNF,2016,12,21,19.525,27.9,15.2,39.6,16.4,348
BNF,2016,12,22,18.475,26.9,14.9,39.7,16.7,348
BNF,2016,12,23,18.525,28.8,14.9,39.7,15.7,378
BNF,2016,12,24,19.775,27.2,14.6,39.3,16.8,294
BNF,2016,12,25,19.775,29.4,15.7,39.6,17.6,360
BNF,2016,12,26,18.875,28.9,15.6,39.6,16.4,330
BNF,2016,12,27,19.35,28,15.1,39.7,17.8,366
BNF,2016,12,28,16.75,22,14.6,24.5,17.7,0
BNF,2016,12,29,16.625,22.2,14.5,33.5,17.6,66
BNF,2016,12,30,15.85,23.5,11.7,36.9,11.7,240
BNF,2016,12,31,16.15,24.6,11.8,34.6,10.4,348
BNF,2017,1,1,16.9375,20.2,14.1,26.9,15.7,0
BNF,2017,1,2,17.75,20.9,14.8,25.6,16.8,0
BNF,2017,1,3,19.2,22.4,17.8,26.5,16.8,0
BNF,2017,1,4,16.9375,17.9,16.2,25.5,16.2,0
BNF,2017,1,5,16.5375,19.5,14.5,22.6,14.8,0
BNF,2017,1,6,18.0375,24.6,14.9,31.4,15.5,270
BNF,2017,1,7,18.525,26.9,14.6,35.9,14,372
BNF,2017,1,8,16.5,25.6,13.5,32.8,14.9,288
BNF,2017,1,9,16.8375,26.8,12.7,36.1,14.5,360
BNF,2017,1,10,17.6375,22.5,14.5,28.9,14.9,84
BNF,2017,1,11,19.2625,22.9,16.1,29.6,15.8,0
BNF,2017,1,12,21.3125,27.9,18.5,38,17.8,384
BNF,2017,1,13,21.1875,28.9,17.1,39.5,16.3,390
BNF,2017,1,14,19.65,28.3,15.8,34.6,15.8,402
BNF,2017,1,15,18.3375,26.5,14.5,41.3,15.8,348
BNF,2017,1,16,18.225,27.9,13.4,41.1,13.9,366
BNF,2017,1,17,18.9125,28.5,13.9,42.1,14.8,372
BNF,2017,1,18,18.8375,28.9,14.1,42.2,14.8,378
BNF,2017,1,19,17.9625,28,13.9,35.1,13.4,600
BNF,2017,1,20,17.425,28,11.8,41.7,11.8,0
BNF,2017,1,21,17.8125,28.3,12.3,42,13.4,414
BNF,2017,1,22,19.1125,28,13.2,44,13.8,456
BNF,2017,1,23,19.2125,27.1,15.3,45.2,13.9,354
BNF,2017,1,24,19.5375,27.1,15.9,45.1,14.7,336
BNF,2017,1,25,19.6375,28.4,14.7,46.5,13.8,372
BNF,2017,1,26,18.3875,27.3,13.4,44.9,14.7,390
BNF,2017,1,27,17.475,25.2,12.4,41.4,12.6,96
BNF,2017,1,28,18.8,28.6,13.3,44.7,12.7,462
BNF,2017,1,29,18.5625,29.4,13.4,45.5,13.9,372
BNF,2017,1,30,18.75,28.6,13.1,47.7,12.7,462
BNF,2017,1,31,18.9625,29,12.3,47.6,14.1,438
BNF,2017,2,1,19.9125,29.4,13.8,48.5,14.2,480
BNF,2017,2,2,19.9625,28.8,14.3,47.7,14.5,384
BNF,2017,2,3,19.425,28.2,13.7,40,13.4,354
BNF,2017,2,4,19.0125,29.5,13.5,47.7,14.8,426
BNF,2017,2,5,16.975,30.6,9.8,47.5,11.6,456
BNF,2017,2,6,17.825,30.9,10.4,49.7,12.4,456
BNF,2017,2,7,18.1125,30.2,10,49.7,12.4,402
BNF,2017,2,8,18.725,30.2,10.5,50,12.4,480
BNF,2017,2,9,18.8625,30.2,10.5,49.6,12.8,522
BNF,2017,2,10,19.4,30.9,11,50.3,12.5,474
BNF,2017,2,11,18.05,25.3,13.6,34.4,13.9,0
BNF,2017,2,12,16.5125,22.2,12.7,28.7,14.8,0
BNF,2017,2,13,16.7875,21.2,14.5,28.9,14.7,0
BNF,2017,2,14,18.725,26.5,14.2,35.7,14.5,204
BNF,2017,2,15,16.95,24.4,15.1,30.8,14.8,0
BNF,2017,2,16,17.0625,24.1,14.1,35.2,15.2,174
BNF,2017,2,17,18.4375,26,14.7,36.8,15.3,132
BNF,2017,2,18,18.75,29.7,12.4,36.6,14.7,468
BNF,2017,2,19,19.8625,30.3,13.5,39.9,13.7,462
BNF,2017,2,20,21.325,30,14.2,42.2,15.3,384
BNF,2017,2,21,21.4375,31.5,14.3,47.3,14.3,528
BNF,2017,2,22,21.0625,32.5,13.2,46.3,14.4,516
BNF,2017,2,23,21.4375,33.1,13,49.6,14.3,522
BNF,2017,2,24,21.8375,33.6,13.1,48.8,14.9,474
BNF,2017,2,25,21.7875,33,13.1,47.7,14.6,546
BNF,2017,2,26,19.3125,27.9,12.3,49.7,13.4,480
BNF,2017,2,27,19.875,28.5,14.2,48,14.8,312
BNF,2017,2,28,20.6875,29.2,14.9,48.3,15.6,354
BNF,2017,3,1,20.4,28.9,14.3,47.9,14.8,450
BNF,2017,3,2,18.9375,25.1,16.1,30.7,15.8,0
BNF,2017,3,3,20.5625,30.1,14.5,48,14.8,354
BNF,2017,3,4,21.8125,29.9,15.2,46.9,15,402
BNF,2017,3,5,20.3625,32.9,11.5,46.3,12.4,264
BNF,2017,3,6,21.55,31.6,13.5,48.4,13.8,456
BNF,2017,3,7,20.6875,33.5,12.1,48.3,12.8,414
BNF,2017,3,8,21.0375,30.6,12.6,49.4,14.8,366
BNF,2017,3,9,22.35,31.8,16.6,36.4,17.8,228
BNF,2017,3,10,22.4875,31.4,14.5,43.5,14.6,228
BNF,2017,3,11,23.4625,33.6,15.9,53.8,15.8,372
BNF,2017,3,12,23.875,34.1,17,44.9,16.7,234
BNF,2017,3,13,24.9625,33.9,16.6,57.3,15.8,474
BNF,2017,3,14,22.0125,32.1,12.1,52.1,14.4,540
BNF,2017,3,15,22.55,34.2,13.5,51.7,14.6,498
BNF,2017,3,16,22.8875,35.6,14.1,55.3,15,486
BNF,2017,3,17,22.2625,34.7,13.1,51.3,14,462
BNF,2017,3,18,23.3,34.3,15.1,54.2,15.7,288
BNF,2017,3,19,22.65,32,14.7,40.4,15.1,276
BNF,2017,3,20,22.6125,33.6,14.9,56.2,14.8,438
BNF,2017,3,21,22.675,33,15.4,50.1,15.4,300
BNF,2017,3,22,21.425,32.5,12.4,57.6,14.6,444
BNF,2017,3,23,21.825,34.5,11,54.7,13.6,540
BNF,2017,3,24,22.225,34.2,12.5,50.7,14.1,480
BNF,2017,3,25,23.0375,34.2,14.5,52.4,14.3,468
BNF,2017,3,26,23.525,33.1,15.4,53.1,15.6,360
BNF,2017,3,27,20.2125,24.1,16.5,28.8,18.1,270
BNF,2017,3,28,22.075,30.4,17.5,46.1,18.1,276
BNF,2017,3,29,23.1,28,17.9,36.8,18.1,402
BNF,2017,3,30,24.45,33,19.8,50.5,18.1,0
BNF,2017,3,31,23.8,31.6,18,44.6,18.6,192
BNF,2017,4,1,20.9,26.2,19.4,24.4,20.5,0
BNF,2017,4,2,18.1625,22.6,11.7,28,13.2,0
BNF,2017,4,3,19.95,27.8,16.6,48.8,17.6,0
BNF,2017,4,4,20.925,28.8,12,37,12.6,0
BNF,2017,4,5,23.725,32.9,17.6,41.7,18.6,432
BNF,2017,4,6,23.9625,34.9,15.5,50.4,16.1,480
BNF,2017,4,7,24.525,35.9,16.5,56.4,17.6,372
BNF,2017,4,8,25.6625,35.7,16.9,55,18.2,534
BNF,2017,4,9,27,38.1,18.6,55.4,19.7,402
BNF,2017,4,10,26.1875,37.9,17.5,57.6,18.7,474
BNF,2017,4,11,26.525,38,18,59.2,19.6,456
BNF,2017,4,12,26.4875,36.6,20.1,57.2,21.4,474
BNF,2017,4,13,22.5125,24.7,20.6,30.1,21.5,0
BNF,2017,4,14,22.15,25.9,19.5,30.6,20.3,0
BNF,2017,4,15,24.325,31.3,20.4,42.3,20.8,78
BNF,2017,4,16,21.75,23.9,20.2,28.8,20.8,0
BNF,2017,4,17,22.45,27.3,19.2,32.1,20.1,0
BNF,2017,4,18,23.6125,32.9,20.6,42.3,21.1,450
BNF,2017,4,19,24.1875,33,18.5,42.4,19.7,552
BNF,2017,4,20,24.675,33.9,16.4,43.9,17.6,522
BNF,2017,4,21,24.3,35.3,18.6,45.9,19.2,570
BNF,2017,4,22,23.7125,29.8,20,43.9,20.2,222
BNF,2017,4,23,24.15,30.9,20,44.3,20.4,468
BNF,2017,4,24,24.3,30,19.1,35.9,19.3,306
BNF,2017,4,25,25.0875,32.6,20.1,49.7,19.7,336
BNF,2017,4,26,25.75,34.8,19.5,51.4,20.1,390
BNF,2017,4,27,26.6,36.1,19.6,54.9,19.7,528
BNF,2017,4,28,26.5,33.1,19.6,54.7,19.7,354
BNF,2017,4,29,24.45,32.2,20.1,49.4,20.7,384
BNF,2017,4,30,25.6,34.9,20,49.7,22,432
BNF,2017,5,1,26.575,36.7,20,55.7,20.3,504
BNF,2017,5,2,26.5875,37.2,18.3,55.4,19.6,570
BNF,2017,5,3,26.8,37.6,18.7,55.3,20.3,630
BNF,2017,5,4,26.1625,37.9,16.2,55.8,20.1,594
BNF,2017,5,5,26.8,36.3,18,59.4,20.1,432
BNF,2017,5,6,27.1625,36.8,18.6,55.6,21.2,216
BNF,2017,5,7,26.2375,34.6,20.1,53.9,20.1,402
BNF,2017,5,8,26.975,37,19.7,58.9,21.1,504
BNF,2017,5,9,28.325,38.3,19.7,58.8,23.2,600
BNF,2017,5,10,24.15,27.2,20.2,47,21.7,144
BNF,2017,5,11,25.7125,33,21.5,45.8,22.7,360
BNF,2017,5,12,23.5375,29.8,20.1,40.8,20.7,126
BNF,2017,5,13,25.775,34.5,20.2,43.8,21.1,522
BNF,2017,5,14,25.4875,31.7,21.4,46.7,22.7,186
BNF,2017,5,15,24.1625,32.6,21.1,43.6,21.2,372
BNF,2017,5,16,21.2,25.6,19.6,29.9,22.1,0
BNF,2017,5,17,19.5,21,18.2,29.1,19.3,0
BNF,2017,5,18,20.65,24,18.6,29.9,19.6,0
BNF,2017,5,19,24.225,32.6,20.2,43.6,20.1,600
BNF,2017,5,20,26.9375,35.1,21.2,47.4,23.1,570
BNF,2017,5,21,27.6,35.7,21.4,47.4,21.2,594
BNF,2017,5,22,28.2875,36.9,22.1,49.8,23.6,612
BNF,2017,5,23,28.5,37,21,52.4,24.2,588
BNF,2017,5,24,28.9875,37.2,22.6,53.7,24.2,624
BNF,2017,5,25,27.625,35,23.6,49.9,24.1,456
BNF,2017,5,26,24.9375,30.2,22.5,44.3,20.3,84
BNF,2017,5,27,25.775,34,20.2,48.6,21.6,330
BNF,2017,5,28,26.125,34.5,20.2,51.8,23.1,594
BNF,2017,5,29,25.4875,33.8,17.9,53.1,22.5,516
BNF,2017,5,30,26.1375,34.1,20.7,46.3,22.6,192
BNF,2017,5,31,25.55,33.8,22.6,35.9,23.1,192
BNF,2017,6,1,27.3,33.9,22.6,46.7,23.1,504
BNF,2017,6,2,28.375,35.8,22.6,54.9,24,540
BNF,2017,6,3,27.3875,34.6,21.5,53.3,24.4,570
BNF,2017,6,4,27.025,33.2,23.2,49.6,24.1,522
BNF,2017,6,5,27.7875,35.8,21.5,58.5,21,588
BNF,2017,6,6,28.3625,37.2,22.6,54.6,24.1,636
BNF,2017,6,7,27.325,32.6,22.6,45.8,23.6,300
BNF,2017,6,8,27.725,35,21.4,56.5,23.1,534
BNF,2017,6,9,26.3875,33,23.6,51.5,23.1,474
BNF,2017,6,10,27.25,33.4,23.6,51.6,23.6,0
BNF,2017,6,11,26.1375,31.4,23.6,44.9,24,252
BNF,2017,6,12,28.15,33.9,23.6,59.8,24.9,360
BNF,2017,6,13,26.3375,33.1,23.2,38,24.6,336
BNF,2017,6,14,26.65,31.9,23.5,42.4,24.1,240
BNF,2017,6,15,26.375,31.5,23.6,45.6,24.2,60
BNF,2017,6,16,27.075,32.1,23.5,45.6,24.1,240
BNF,2017,6,17,27.7875,32.6,23.3,39.7,23.6,318
BNF,2017,6,18,27.0125,34.5,23.6,47.8,24,444
BNF,2017,6,19,25.8875,29.9,23.6,38.7,24.1,96
BNF,2017,6,20,25.975,30.9,24.2,38.8,24.1,204
BNF,2017,6,21,25.8125,30,23.3,45.8,24.1,270
BNF,2017,6,22,25.7125,31.7,23.7,46.7,24.6,252
BNF,2017,6,23,27.6,34.9,24,47.4,24.1,378
BNF,2017,6,24,27.175,35,23.1,46.3,23.2,540
BNF,2017,6,25,27.225,34.9,22.8,51.2,22.6,360
BNF,2017,6,26,25.1875,33.9,22.6,45.8,23.6,306
BNF,2017,6,27,25.1625,31.5,22.7,43.7,23.6,198
BNF,2017,6,28,26.45,32.9,22.6,39.9,23.1,198
BNF,2017,6,29,25.7,30.2,22.9,43.4,23.2,18
BNF,2017,6,30,24.4,26.9,23,32.9,23.6,0
BNF,2017,7,1,24.625,29.9,23.1,31.7,23.6,0
BNF,2017,7,2,24.15,30,22.6,32.7,23.6,144
BNF,2017,7,3,24.55,27.8,22.6,39.9,24,0
BNF,2017,7,4,23.9375,26.9,22.3,33.4,23,0
BNF,2017,7,5,25.7625,31.2,23.5,34.9,24.1,24
BNF,2017,7,6,26.9,32.6,24,44.6,24,366
BNF,2017,7,7,26.475,31.9,23.6,36.7,24.1,0
BNF,2017,7,8,24.4625,27.5,22.6,30.9,23.6,0
BNF,2017,7,9,24.5125,25.9,23.3,29.5,23.6,0
BNF,2017,7,10,25.6375,32.6,19.3,39.9,24.9,108
BNF,2017,7,11,26.4875,33.1,22.6,46.3,23.6,288
BNF,2017,7,12,24.8,27.9,23,30.7,23,174
BNF,2017,7,13,24.6,28.5,22.7,32,24.2,0
BNF,2017,7,14,25.725,31,23.3,39.8,24.1,120
BNF,2017,7,15,25.575,31.9,22.8,45.3,23.6,222
BNF,2017,7,16,25.625,33.9,22.6,44.9,23.9,330
BNF,2017,7,17,25.5875,29.2,23,44.7,23.6,96
BNF,2017,7,18,26.4875,32.6,23.1,46.9,23.6,180
BNF,2017,7,19,25.2,32,22.5,43.4,24,0
BNF,2017,7,20,24.6875,31,21.6,36.7,23.1,312
BNF,2017,7,21,24.425,26.9,23.6,29.1,24.1,42
BNF,2017,7,22,24.25,27,22.7,32,23.1,0
BNF,2017,7,23,23.175,25.7,22.6,31.4,23.4,0
BNF,2017,7,24,25.1,32.8,22.6,35.9,23.6,402
BNF,2017,7,25,25.175,31.9,22.6,36.9,24.1,168
BNF,2017,7,26,26.9,34.9,23.2,39.9,23.7,564
BNF,2017,7,27,27.325,33.9,22.7,55.8,24.1,594
BNF,2017,7,28,26.05,30.6,22.4,45.4,23.1,444
BNF,2017,7,29,26.9,35.3,22,56.9,23.5,552
BNF,2017,7,30,27.8125,34.9,22.6,49.7,23.1,510
BNF,2017,7,31,26.375,35.9,22.4,53.9,24.3,378
BNF,2017,8,1,24.775,30.8,22.6,39.9,23.6,210
BNF,2017,8,2,26.4875,32,22.6,50.1,24,312
BNF,2017,8,3,26.3875,30.9,23.6,47.8,24.1,30
BNF,2017,8,4,26.85,33.1,24,50.3,24.1,288
BNF,2017,8,5,24.8875,28.6,23.7,32.8,24,0
